Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
80440,3.96,1203,342,2,1,280,0,0,5,0
80450,0.35,1192,356,2,3,316,0,3,9,2
80460,1.82,1190,360,2,5,318,0,4,7,1
80470,-0.1,1203,254,2,2,224,0,2,5,0
80480,3.45,1206,290,2,0,182,0,1,5,0
80490,-1.85,1193,366,2,3,248,0,4,5,0
80500,4.19,1209,330,3,0,180,0,0,5,0
80510,3.36,1206,332,3,1,180,0,0,5,0
80520,3.77,1204,332,3,1,202,1,1,5,0
80530,4.88,1205,334,3,2,182,0,1,5,0
80540,-1.15,1203,372,3,1,184,0,2,5,0
80550,-3.42,1204,292,2,1,240,1,0,7,1
80560,-1.13,1206,252,2,1,222,0,1,5,0
80570,-4.67,1183,284,2,7,308,4,4,11,3
80580,-2.04,1197,334,3,2,344,1,2,5,0
80590,-3.47,1184,536,3,3,302,0,6,9,2
80600,1.39,1203,452,3,1,222,0,1,5,0
80610,-1.8,1200,494,3,2,240,1,0,5,0
80620,-0.37,1194,438,3,4,246,1,3,5,0
80630,4.95,1204,370,3,0,260,0,0,5,0
80640,3.28,1204,372,3,1,260,0,0,5,0
80650,-4.96,1192,366,3,3,324,1,2,9,2
80660,2.26,1200,362,3,1,344,0,2,5,0
80670,1.92,1202,332,3,1,402,0,1,5,0
80680,-1.25,1189,400,3,5,370,1,5,5,0
80690,-1.02,1180,442,3,6,374,1,7,9,2
80700,-4.93,1201,294,3,2,344,0,2,7,1
80710,-4.38,1198,298,3,4,294,0,2,7,1
80720,-2.06,1181,370,3,10,378,2,4,9,2
80730,-0.37,1178,452,3,6,422,0,6,11,3
80740,-1.59,1198,432,3,1,434,0,2,5,0
80750,-4.51,1187,440,3,5,420,0,5,7,1
80760,0.94,1181,534,3,2,414,1,7,9,2
80770,-4.34,1196,472,3,1,424,0,2,7,1
80780,-3.81,1186,456,3,3,634,0,2,9,2
80790,2.47,1191,394,3,2,594,1,2,7,1
80800,3.4,1201,334,3,2,500,0,0,5,0
80810,1.51,1192,276,2,3,522,3,1,7,1
80820,2.92,1194,260,2,5,484,1,2,5,0
80830,-3.65,1197,256,2,3,426,0,3,5,0
80840,-2.73,1191,356,2,3,528,0,4,7,1
80850,-0.93,1184,184,1,7,518,2,4,9,2
80860,-2.79,1171,218,1,9,466,2,8,17,6
80870,-1.32,1181,248,1,4,480,1,5,13,4
80880,3.69,1200,174,1,2,420,0,0,5,0
80890,1.01,1180,144,1,7,490,1,5,9,2
80900,3.06,1204,170,1,0,420,0,0,5,0
80910,3.05,1205,170,1,0,420,0,0,5,0
80920,-3.52,1192,178,1,4,426,0,3,9,2
80930,0.11,1202,172,1,1,440,1,0,5,0
80940,3.13,1202,170,1,0,452,0,1,5,0
80950,-1.16,1193,236,1,3,428,0,4,5,0
80960,-2.84,1190,226,1,3,448,1,4,7,1
80970,-4.68,1188,198,1,4,494,2,2,11,3
80980,-2.59,1155,314,1,12,514,2,12,17,6
80990,-1.8,1196,314,1,2,426,0,3,5,0
81000,0.93,1197,362,1,1,470,1,0,7,1
81010,0.86,1193,384,1,2,416,0,3,7,1
